iter,rec,pre,oa,f1_score,iou,kc
500,0.5138094008849939,0.8948627287058893,0.9721571803092957,0.6527975855449332,0.48455790944301774,0.6393968508037677
1000,0.6018201536124821,0.9358348083991304,0.9776138216257095,0.7325495797963275,0.5779709944619458,0.7214417070107425
1500,0.7439623771542567,0.9051449477159713,0.982985258102417,0.816676727847207,0.6901552154564202,0.807844679486076
2000,0.7831482587879635,0.9071844255559942,0.9848713651299477,0.8406154715626001,0.7250532079253879,0.8327191467547038
2500,0.8152710083680265,0.9073507166716395,0.9863487333059311,0.8588498832583868,0.752617793801491,0.8516989404560815
3000,0.8591082636729076,0.8514331634190558,0.9851861447095871,0.8552534946809563,0.7471116886638541,0.8474472660531588
3500,0.8748743479732967,0.8716638703169886,0.9870640411973,0.8732661584033056,0.7750420961580421,0.8664503509646485
4000,0.8908903834608075,0.8717449364565113,0.9877646490931511,0.8812136826535264,0.7876514656914829,0.8747646322717477
4500,0.8762270680023723,0.8916305116549311,0.9882695451378822,0.8838616842882825,0.7918926103031223,0.8776849898453447
5000,0.8951094249440754,0.8798387867748801,0.9884291440248489,0.8874084159456666,0.7976048252242846,0.8813100813665434
5500,0.8924915921188592,0.8825257482596469,0.9884713292121887,0.8874806935488093,0.7977216111240094,0.8814053092857758
6000,0.882869568333276,0.8933242291282176,0.9886624366044998,0.8880661307108119,0.798668117986652,0.882095161993563
6500,0.9001442813610858,0.8756229183001222,0.9883996695280075,0.8877142935030397,0.7980991649158315,0.8815994285940729
7000,0.915761330986415,0.8647016629581918,0.9884093329310417,0.889499358840812,0.8009895049788667,0.8833885675428008
7500,0.9079097338363559,0.8727177153872714,0.9885632321238518,0.8899659600743579,0.8017465483616826,0.883936590510257
8000,0.9067443675057606,0.8765221790098916,0.9887422546744347,0.8913771756264136,0.804040072086803,0.8854424694951576
8500,0.8986331662848172,0.8855236038271358,0.9889181554317474,0.8920302220720081,0.8051033880546714,0.8861898941857729
9000,0.922657877667249,0.8605960458686548,0.988446369767189,0.8905470059312195,0.8026901641549044,0.8844561058079079
9500,0.9065306877606553,0.8827380792161584,0.9891038984060287,0.8944761936647763,0.8090971795803623,0.8887326260328677
10000,0.9080287860694262,0.8847055098434133,0.9892866089940071,0.8962154313258084,0.8119477810804109,0.8905682188338107
10500,0.9090433626551866,0.8823616510240004,0.9891925156116486,0.8955038042206621,0.8107803427867764,0.8898067164417736
11000,0.9003497707805745,0.8923840961201397,0.98939248919487,0.8963492364642157,0.8121674591992911,0.8907595711686445
11500,0.906812230203727,0.8878575241748032,0.9894180819392204,0.8972347805336642,0.8136226684478365,0.8916572812060471
12000,0.8997970700572665,0.8987242270356703,0.9897300899028778,0.8992603285635605,0.8169600423232197,0.8938495757260138
12500,0.8968415325561787,0.9030644073387902,0.9898408129811287,0.8999422126713119,0.8180863069536334,0.8945910213450535
13000,0.9041094227502382,0.8955433034089672,0.9897429868578911,0.8998059762573279,0.8178611743375426,0.8944009308264566
13500,0.9022734735097813,0.8988088187536415,0.9898468405008316,0.9005378137374529,0.8190712013468086,0.8951882083226402
14000,0.9107593821276857,0.8865485981319056,0.9895166084170341,0.8984909234578262,0.8156908940581257,0.8929648782932159
14500,0.9042496820764231,0.8916345258601295,0.9895238056778908,0.8978977964996605,0.8147137294961264,0.8923767271827786
15000,0.9036775293297754,0.898374397472642,0.9898855462670326,0.9010181602943514,0.8198662869039587,0.8956886834360814
15500,0.9088396283054728,0.8909388503695709,0.9896886646747589,0.8998002178677945,0.8178516597448936,0.8943654478847597
16000,0.9133368483480772,0.8898347530557839,0.9898249208927155,0.9014326404362359,0.8205529070098992,0.8960691778550194
16500,0.9102789317767814,0.8915892062370598,0.9897909760475159,0.9008371402047013,0.819566574849943,0.8954562186396189
17000,0.9049133909629995,0.896650629780379,0.9898427352309227,0.900763062051903,0.8194439533057563,0.8954106212832544
17500,0.9101727500553944,0.8936439569326968,0.9899057969450951,0.9018326249011585,0.8212160052742309,0.8965124423679202
18000,0.914328462770948,0.8876343966936611,0.9897394254803658,0.9007837083530886,0.8194781274606844,0.8953749306239249
18500,0.9050464837542698,0.8995769240665704,0.9900159984827042,0.9023034151774226,0.8219971052595224,0.8970426537042451
19000,0.915110785123151,0.889747268403552,0.9898989498615265,0.902250811091729,0.8219097952502535,0.8969262260022073
19500,0.912147642319705,0.8913136683857465,0.9898584857583046,0.9016103160731126,0.8208473998496939,0.8962647767632066
20000,0.9130294186258242,0.8941003186868571,0.990060567855835,0.903465730554327,0.8239284039987668,0.8982268864960798
20500,0.907963994743566,0.8979456345511664,0.9900546222925186,0.9029270260085228,0.8230327857985655,0.8976860211912058
21000,0.907345040136252,0.8985152637559769,0.9900593087077141,0.9029085652954867,0.8230021096998835,0.8976701792204137
21500,0.9132915090455564,0.8915480347402881,0.9899233728647232,0.9022887966279765,0.8219728411774105,0.8969773798003807
22000,0.9054249938024098,0.9018751801909226,0.9901637881994247,0.9036466008085782,0.8242293055095483,0.8984639817397092
22500,0.919326316466869,0.886863288631388,0.9899159222841263,0.9028030701160349,0.8228268285543886,0.8974869797533074
23000,0.9149184587269747,0.8935737183561888,0.9901146814227104,0.9041201278248948,0.8250175505371724,0.8989095883309263
23500,0.9179273796003853,0.8875082494506612,0.9898920655250549,0.9024615540795189,0.8222596278371317,0.8971330002128896
24000,0.917333727248994,0.8863456861199774,0.989796593785286,0.901573512291542,0.8207863906963938,0.8961945938844242
24500,0.9198591263993939,0.8844181639849114,0.98979352414608,0.9017905662622788,0.821146257315477,0.8964098058150876
25000,0.9083661982336685,0.8959530667922281,0.9899581745266914,0.9021169333534456,0.8216876284547591,0.8968248116780612
25500,0.9062795665270167,0.9000835511929721,0.9901006892323494,0.9031709323681105,0.8234381810450221,0.8979546977242239
26000,0.9094521476569453,0.8979087352270356,0.9901196956634521,0.9036435781979674,0.824224276182638,0.8984366831789495
26500,0.9058649312926748,0.9022359747559884,0.9902042225003242,0.904046811268083,0.8248954613783449,0.8988854856922617
27000,0.9079212880457078,0.9009884837994376,0.990226648747921,0.904441600634532,0.825553070615288,0.8992916414958225
27500,0.9077396383239961,0.9022086852187833,0.9902878254652023,0.9049657108554562,0.8264268250105925,0.8998481741311467
28000,0.9155496988227139,0.8913543362450805,0.9900130480527878,0.9032900234382226,0.8236361870893772,0.8980256747368055
28500,0.9082364693261337,0.899889244035111,0.9901782125234604,0.9040435891679863,0.8248900962052556,0.8988679235504583
29000,0.902994514675674,0.9063954854015456,0.9903078153729439,0.9046918037675246,0.8259700848394883,0.8995861232895364
29500,0.9084690160713201,0.9013614366043896,0.9902727380394936,0.9049012698686718,0.8263193490875045,0.8997755746967392
30000,0.9072795175313189,0.9012176528058751,0.9902105927467346,0.9042384258483191,0.8252145787721792,0.8990801214877674
30500,0.9156177077764948,0.8934558101240585,0.9901391714811325,0.90440101275127,0.8254854406377313,0.899203312899172
31000,0.9131108831145468,0.895777128262417,0.9901616126298904,0.9043609549259736,0.825418698787675,0.8991755248756618
31500,0.9132176498591922,0.8948115055679453,0.9901103749871254,0.9039208883649613,0.8246858085057093,0.8987083472153914
32000,0.9088236864216833,0.9018752214255619,0.990318089723587,0.9053361217330542,0.8270448488410598,0.9002343452616981
32500,0.9113947173862331,0.8959610151609305,0.9900949969887733,0.9036119691289053,0.8241716834604383,0.8983916223303655
33000,0.9087722043749502,0.9000579848028538,0.9902121126651764,0.9043941037785967,0.8254739289900958,0.8992362561965171
