iter,rec,pre,oa,f1_score,iou,kc
500,0.6799795534371214,0.8176194000938743,0.975970670580864,0.742474443169879,0.5904249334235835,0.7299834285636295
1000,0.8037713524348302,0.8407565571972283,0.9822483584284782,0.8218480587514795,0.6975739121395023,0.8125118156863855
1500,0.8346825188468899,0.8494421102705174,0.9840419068932533,0.8419976383657349,0.7271121944668929,0.8335949029797194
2000,0.8426381038811174,0.8617839712102418,0.9850990623235703,0.8521035042529754,0.7423173669490524,0.8442588407688606
2500,0.8960369793201591,0.823773188729087,0.9849390164017677,0.8583868770946939,0.7519069813337235,0.8504482791492629
3000,0.8891048924763815,0.8055010010613503,0.9834141954779625,0.8452406352053363,0.7319625724409128,0.8365007224521556
3500,0.9018445052056101,0.8376877736044273,0.9860979542136192,0.8685830379875037,0.7676949057246947,0.8612543627063289
4000,0.9058456255251498,0.8389583840165842,0.9863457158207893,0.8711199401228725,0.7716673994735004,0.8639221014864215
4500,0.8979337709794825,0.8598245471529526,0.9873431995511055,0.8784660439850148,0.7832719101135064,0.8717933263429467
5000,0.9019638499503095,0.8605222384021906,0.9875583574175835,0.880755832623474,0.7869201897991022,0.8741964446276732
5500,0.8928989145624721,0.865567832042908,0.9874795451760292,0.8790209757486467,0.7841547047106447,0.8724208083144395
6000,0.8988190574251518,0.8706371114610362,0.9880422949790955,0.8845036589692422,0.7929238550006625,0.878200091637444
6500,0.916259770802513,0.8532776846455713,0.9877080544829369,0.8836478859005285,0.7915494356485733,0.8771678425558033
7000,0.9129564369743475,0.8656158853594285,0.9883456081151962,0.8886561255481329,0.7996230023640813,0.882511717456797
7500,0.9042777631928229,0.8786941971946762,0.9887642115354538,0.8913024330422175,0.8039184531521181,0.8853796468977043
8000,0.9020220597645136,0.8832192092248272,0.9889330863952637,0.8925216150527162,0.8059043202863055,0.886688490670794
8500,0.9054381568257223,0.883969620426679,0.9891284331679344,0.8945751035440701,0.8092590518018374,0.8888446803556074
9000,0.9100689084270407,0.8816101677985426,0.989193007349968,0.8956135210964333,0.8109602373850114,0.889916563239088
9500,0.915945028289531,0.8633182752445848,0.9883307591080666,0.8888533591078003,0.7999424435951064,0.8827011675565146
10000,0.9051022072196258,0.8879890281432201,0.9893496632575989,0.8964639539901602,0.8123558421418042,0.8908505846017432
10500,0.9229517055987457,0.8670323193158851,0.9888644739985466,0.8941185471864729,0.8085121103276505,0.8882478071860306
11000,0.9091567109114882,0.8805721656757257,0.9890908524394035,0.8946361701360597,0.8093590055739212,0.8888853498170288
11500,0.9078200790220167,0.8905031996493692,0.9896176904439926,0.8990782632501017,0.8166595619270159,0.8936061441877627
12000,0.9064654576673514,0.8931605388354572,0.9897114485502243,0.8997638155697062,0.8177915144970506,0.894341557584608
12500,0.9106872780110964,0.8905945884714097,0.9897511377930641,0.9005288696657376,0.8190564034109362,0.8951268143778228
13000,0.911427332432885,0.890073895569251,0.9897537082433701,0.900624061418477,0.819213910193917,0.8952232451800789
13500,0.9029243118846744,0.8975690918271524,0.9898055791854858,0.9002387378217754,0.8185765118137841,0.8948671168780232
14000,0.900851574480408,0.9015790526035676,0.9899394437670708,0.9012151667334473,0.820192579519181,0.8959149965290991
14500,0.89953995233523,0.9040458121749627,0.9900186061859131,0.9017872538083391,0.8211407643332511,0.8965294115980943
15000,0.9145906994464948,0.8894319486802097,0.9898571744561195,0.901835893133819,0.8212214253727325,0.8964893016076725
15500,0.9069072964832058,0.8942658972008605,0.9897952005267143,0.9005422354845646,0.8190785172011232,0.89516419552148
16000,0.9090813891669781,0.8986654248203195,0.9901463836431503,0.9038433993862695,0.8245568186883276,0.8986507037053234
16500,0.9058391902693081,0.9008147950882202,0.9901223629713058,0.903320006131495,0.8236860444085072,0.8981153523863126
17000,0.9082328129307691,0.9002116186434315,0.9901964589953423,0.9042044271404955,0.8251579487412535,0.8990384184005987
17500,0.9036876209809817,0.9058427507246666,0.9903084859251976,0.9047639024855249,0.8260902873259864,0.89965837574878
18000,0.9159745719640766,0.8917292541500812,0.9900540634989738,0.9036893213129531,0.8243003911949676,0.8984465897200915
18500,0.9025883622785779,0.9086889186257037,0.9904172942042351,0.9056283668214447,0.8275327497214873,0.9005808006281468
19000,0.8942930249870746,0.9162868523532204,0.9904529005289078,0.9051563548254727,0.8267448587886567,0.9001305967310201
19500,0.9027995556748353,0.9075762764122235,0.9903649240732193,0.9051816142965112,0.826787005147777,0.9001062418538263
20000,0.9226723569928927,0.8866277823680445,0.9900505542755127,0.9042910326883128,0.8253022104099261,0.8990457554486446
20500,0.9269414179647479,0.8787890426762137,0.9897651597857475,0.9022232044765172,0.8218639783201881,0.8968272098175359
21000,0.9140469203278763,0.8952408442099338,0.9901726096868515,0.9045461453290202,0.8257272923656845,0.8993663696098677
21500,0.9154522924502018,0.8959462047575547,0.9902768358588219,0.9055942227198279,0.8274757329684603,0.9004693196230923
22000,0.9058649312926748,0.9037028650101485,0.9902872443199158,0.904782606536193,0.826121473175903,0.8996652343948554
22500,0.9152756154261857,0.8963520686917467,0.9902924448251724,0.90571500811418,0.8276774467621358,0.900598385902883
23000,0.9232265202743467,0.8862327496257061,0.9900515303015709,0.9043514725095753,0.8254029004912607,0.8991066732121447
23500,0.9104096844750184,0.8998604985334275,0.9902749583125114,0.9051043542902218,0.8266581001000126,0.8999794012238996
24000,0.9090731988413614,0.9004117856512706,0.9902459606528282,0.9047217625693381,0.8260200300260352,0.8995817586085246
24500,0.9200463338420598,0.8905674806782151,0.9901677370071411,0.9050669326236671,0.826595670174049,0.8998837637902602
