iter,ce_loss,ds_loss,final_loss
10,0.622152,0.324712,1.673832
20,0.148808,0.113570,0.810594
30,0.172972,0.153640,0.898587
40,0.205543,0.206218,0.942151
50,0.082952,0.045815,0.588015
60,0.223052,0.121063,0.723260
70,0.346831,0.198887,0.972353
80,0.100788,0.069689,0.493498
90,0.070080,0.048370,0.404822
100,0.078265,0.059860,0.395276
110,0.051010,0.034825,0.447330
120,0.087767,0.047754,0.401578
130,0.070210,0.052746,0.416024
140,0.082171,0.069547,0.414872
150,0.061893,0.044002,0.447348
160,0.031594,0.020996,0.245987
170,0.050752,0.043679,0.417911
180,0.063884,0.049257,0.325511
190,0.074767,0.054216,0.352286
200,0.074835,0.052656,0.361929
210,0.087430,0.062000,0.428039
220,0.042322,0.030816,0.278303
230,0.060035,0.045988,0.308563
240,0.061251,0.034609,0.318987
250,0.067020,0.048340,0.320002
260,0.085407,0.065258,0.353959
270,0.059661,0.045300,0.286534
280,0.044512,0.033515,0.264157
290,0.046294,0.036626,0.213546
300,0.075382,0.062695,0.320688
310,0.068839,0.051754,0.313645
320,0.051313,0.034289,0.275902
330,0.020821,0.016985,0.212755
340,0.054009,0.041764,0.258012
350,0.087328,0.071781,0.444462
360,0.019825,0.015013,0.181858
370,0.011902,0.010081,0.255677
380,0.063383,0.044258,0.280014
390,0.085602,0.063684,0.325750
400,0.089837,0.070049,0.380793
410,0.059411,0.047114,0.273857
420,0.055298,0.045728,0.316307
430,0.189753,0.145255,0.583972
440,0.040463,0.035236,0.249307
450,0.058488,0.041780,0.308600
460,0.063879,0.044933,0.318909
470,0.065938,0.050166,0.317278
480,0.077062,0.062176,0.336947
490,0.034575,0.027693,0.166253
500,0.022539,0.017474,0.212936
510,0.045655,0.035171,0.252329
520,0.051403,0.035308,0.304187
530,0.035909,0.028445,0.253471
540,0.046305,0.034217,0.209979
550,0.028433,0.029481,0.248451
560,0.094619,0.071101,0.346650
570,0.056637,0.042239,0.249862
580,0.020416,0.017624,0.198561
590,0.058000,0.043390,0.258418
600,0.031441,0.023434,0.233754
610,0.044825,0.033292,0.296635
620,0.019138,0.014626,0.198904
630,0.066404,0.050323,0.282893
640,0.016770,0.012832,0.176945
650,0.039469,0.031533,0.216278
660,0.026705,0.020351,0.203735
670,0.026252,0.018598,0.190894
680,0.038071,0.029724,0.222834
690,0.038963,0.030575,0.224819
700,0.083957,0.060500,0.311588
710,0.046786,0.033820,0.238845
720,0.045309,0.029332,0.257682
730,0.426324,0.249127,0.974182
740,0.042691,0.035405,0.229216
750,0.063075,0.047263,0.264600
760,0.081107,0.061773,0.294099
770,0.076668,0.064041,0.318910
780,0.073474,0.062654,0.318551
790,0.014082,0.011386,0.160292
800,0.034121,0.025225,0.199809
810,0.041591,0.030513,0.234461
820,0.042224,0.030565,0.213299
830,0.017874,0.013205,0.242641
840,0.078653,0.061505,0.311036
850,0.095075,0.077063,0.351575
860,0.039198,0.028917,0.333537
870,0.078309,0.060314,0.298438
880,0.033863,0.026631,0.204918
890,0.096099,0.071880,0.350569
900,0.076902,0.059665,0.297856
910,0.034924,0.024597,0.229956
920,0.035281,0.026288,0.237364
930,0.052460,0.039082,0.248775
940,0.065789,0.050713,0.309427
950,0.013236,0.009223,0.190957
960,0.021796,0.015685,0.158532
970,0.055497,0.040089,0.256570
980,0.045749,0.032217,0.242784
990,0.028896,0.022214,0.185908
1000,0.053162,0.038299,0.256751
1010,0.077581,0.058191,0.307412
1020,0.023652,0.018960,0.172914
1030,0.110022,0.082943,0.374167
1040,0.068633,0.052881,0.271809
1050,0.059454,0.045164,0.244561
1060,0.062834,0.049052,0.271812
1070,0.024771,0.018282,0.220012
1080,0.031774,0.024178,0.173995
1090,0.013054,0.010273,0.182001
1100,0.031844,0.022483,0.322551
1110,0.020706,0.015195,0.155973
1120,0.055452,0.042247,0.251906
1130,0.052008,0.042456,0.253195
1140,0.043500,0.034699,0.263929
1150,0.039807,0.028520,0.235242
1160,0.017039,0.015548,0.291661
1170,0.013581,0.010071,0.155483
1180,0.043867,0.031311,0.289605
1190,0.029855,0.024303,0.186770
1200,0.028520,0.021737,0.178495
1210,0.032178,0.023261,0.192207
1220,0.068811,0.052654,0.282815
1230,0.037948,0.027610,0.204165
1240,0.080294,0.062102,0.332061
1250,0.056438,0.041991,0.234043
1260,0.043649,0.032717,0.217406
1270,0.046593,0.038491,0.211722
1280,0.031327,0.023279,0.189937
1290,0.061947,0.045766,0.243959
1300,0.040773,0.029651,0.258997
1310,0.063819,0.048670,0.266663
1320,0.064812,0.048770,0.277248
1330,0.042204,0.031333,0.192571
1340,0.032181,0.024423,0.210274
1350,0.050982,0.039247,0.226855
1360,0.063890,0.048353,0.226155
1370,0.058210,0.045978,0.265166
1380,0.028593,0.022862,0.183682
1390,0.049105,0.037214,0.246893
1400,0.055542,0.043458,0.253344
1410,0.033543,0.026054,0.214746
1420,0.025853,0.018199,0.198402
1430,0.024466,0.018280,0.196963
1440,0.019147,0.015580,0.243494
1450,0.027514,0.020046,0.162891
1460,0.035111,0.024550,0.147135
1470,0.028166,0.022105,0.170038
1480,0.042691,0.032930,0.215398
1490,0.046170,0.035041,0.217472
1500,0.106911,0.085646,0.362798
1510,0.043532,0.031825,0.233255
1520,0.007313,0.005938,0.053136
1530,0.030023,0.022758,0.169771
1540,0.036859,0.028126,0.184054
1550,0.042013,0.032537,0.226923
1560,0.047905,0.036109,0.212918
1570,0.055356,0.038006,0.277902
1580,0.005634,0.004514,0.160712
1590,0.009529,0.007708,0.199641
1600,0.001393,0.001180,0.275253
1610,0.035390,0.027049,0.188301
1620,0.039953,0.032318,0.213029
1630,0.047401,0.039600,0.242364
1640,0.025880,0.018930,0.289534
1650,0.051298,0.038775,0.222814
1660,0.041382,0.033887,0.181022
1670,0.031144,0.021613,0.211015
1680,0.001964,0.001517,0.111676
1690,0.026884,0.021723,0.209357
1700,0.017408,0.013518,0.155403
1710,0.040096,0.029214,0.191168
1720,0.021161,0.016364,0.102298
1730,0.079041,0.059643,0.284472
1740,0.039109,0.030708,0.168073
1750,0.034034,0.027940,0.185478
1760,0.081973,0.058623,0.266781
1770,0.041275,0.031855,0.217525
1780,0.018992,0.014852,0.171984
1790,0.020854,0.015755,0.152281
1800,0.000094,0.000132,0.000395
1810,0.036401,0.028414,0.184803
1820,0.065990,0.050947,0.269614
1830,0.031025,0.024445,0.174041
1840,0.028412,0.021860,0.176888
1850,0.007392,0.005987,0.060766
1860,0.011801,0.008964,0.106064
1870,0.057617,0.044473,0.248896
1880,0.034155,0.025919,0.179439
1890,0.041307,0.031293,0.197263
1900,0.031433,0.023100,0.236731
1910,0.013678,0.010563,0.101994
1920,0.054193,0.041594,0.220790
1930,0.056362,0.043294,0.244052
1940,0.004594,0.003389,0.134073
1950,0.043286,0.034272,0.225922
1960,0.032968,0.024962,0.189698
1970,0.022349,0.017160,0.133008
1980,0.028584,0.021935,0.166510
1990,0.055031,0.042817,0.247761
2000,0.044123,0.030775,0.212930
2010,0.032364,0.023301,0.187875
2020,0.011685,0.009065,0.119072
2030,0.070977,0.053508,0.268344
2040,0.017064,0.012704,0.106711
2050,0.007477,0.005655,0.110301
2060,0.009240,0.007315,0.090139
2070,0.052820,0.040837,0.220177
2080,0.061780,0.048061,0.254022
2090,0.031935,0.025504,0.180026
2100,0.037026,0.030836,0.154530
2110,0.037512,0.029120,0.193821
2120,0.012369,0.008007,0.206114
2130,0.045884,0.035201,0.220560
2140,0.066898,0.047831,0.286533
2150,0.031106,0.023670,0.171173
2160,0.070815,0.054655,0.268142
2170,0.043892,0.035147,0.204887
2180,0.032143,0.025222,0.169659
2190,0.030757,0.023101,0.174782
2200,0.058081,0.043320,0.246688
2210,0.058724,0.046118,0.226615
2220,0.053686,0.040840,0.223951
2230,0.042591,0.029522,0.203982
2240,0.037828,0.028508,0.181571
2250,0.084074,0.054786,0.356564
2260,0.033611,0.025733,0.177744
2270,0.026325,0.019609,0.149598
2280,0.014378,0.011141,0.073128
2290,0.055311,0.043505,0.249465
2300,0.022829,0.017461,0.137312
2310,0.047725,0.037013,0.223625
2320,0.038093,0.028077,0.194924
2330,0.044634,0.034306,0.208713
2340,0.041580,0.030269,0.205960
2350,0.047938,0.037737,0.222461
2360,0.042550,0.035295,0.259764
2370,0.013991,0.010580,0.134928
2380,0.069826,0.052891,0.270058
2390,0.042413,0.033632,0.196885
2400,0.030939,0.023618,0.153626
2410,0.041967,0.030889,0.199177
2420,0.098202,0.072570,0.322790
2430,0.040772,0.030882,0.218511
2440,0.034477,0.026782,0.184294
2450,0.047279,0.034625,0.230646
2460,0.021847,0.016724,0.197273
2470,0.035316,0.026070,0.170388
2480,0.042212,0.031841,0.210305
2490,0.047369,0.036419,0.233192
2500,0.053061,0.040840,0.230066
2510,0.037329,0.028090,0.209997
2520,0.010534,0.007799,0.118626
2530,0.041230,0.031243,0.206006
2540,0.004743,0.003366,0.087386
2550,0.037376,0.027768,0.162737
2560,0.022535,0.017336,0.171358
2570,0.046833,0.036181,0.210667
2580,0.026097,0.019656,0.154553
2590,0.082178,0.061901,0.302206
2600,0.051744,0.039657,0.201026
2610,0.076533,0.056373,0.293737
2620,0.015672,0.011598,0.127933
2630,0.042670,0.033103,0.230636
2640,0.045003,0.033605,0.220693
2650,0.025301,0.021742,0.157049
2660,0.035724,0.026658,0.187096
2670,0.088619,0.066117,0.309635
2680,0.027488,0.021960,0.136645
2690,0.046610,0.034010,0.224280
2700,0.069860,0.054779,0.263995
2710,0.035520,0.026806,0.211238
2720,0.018973,0.014163,0.235791
2730,0.036958,0.027797,0.190814
2740,0.055946,0.042117,0.208867
2750,0.031622,0.023984,0.173069
2760,0.004171,0.003165,0.116197
2770,0.026785,0.018880,0.199460
2780,0.016475,0.012323,0.152933
2790,0.036999,0.028106,0.193125
2800,0.056949,0.044855,0.246111
2810,0.046656,0.035621,0.214529
2820,0.035783,0.026020,0.209666
2830,0.010585,0.008011,0.120661
2840,0.023873,0.018105,0.141498
2850,0.036499,0.026103,0.186322
2860,0.028250,0.021350,0.158372
2870,0.049987,0.039674,0.213509
2880,0.025447,0.018268,0.150864
2890,0.019009,0.014666,0.208799
2900,0.036543,0.027804,0.186998
2910,0.038982,0.029100,0.178661
2920,0.044814,0.034200,0.194793
2930,0.038953,0.028347,0.184891
2940,0.048135,0.035988,0.228096
2950,0.072821,0.056088,0.259865
2960,0.052245,0.038842,0.220141
2970,0.067196,0.053194,0.258577
2980,0.048570,0.036861,0.252814
2990,0.097485,0.066480,0.325086
3000,0.034250,0.026266,0.186170
3010,0.052209,0.040621,0.244654
3020,0.023651,0.015792,0.179351
3030,0.014619,0.011322,0.126346
3040,0.063440,0.047699,0.270114
3050,0.072389,0.053127,0.268328
3060,0.091914,0.053078,0.260647
3070,0.067034,0.052431,0.259569
3080,0.066185,0.052851,0.259199
3090,0.031913,0.022852,0.208218
3100,0.038487,0.028928,0.190504
3110,0.063051,0.047022,0.252336
3120,0.038596,0.028509,0.194724
3130,0.027563,0.021342,0.153367
3140,0.038552,0.028696,0.198243
3150,0.057277,0.042770,0.236860
3160,0.037496,0.027873,0.179671
3170,0.032259,0.025226,0.131098
3180,0.043317,0.033725,0.196665
3190,0.034551,0.027437,0.163692
3200,0.027241,0.020481,0.147969
3210,0.037177,0.027931,0.192386
3220,0.028677,0.020396,0.174831
3230,0.027512,0.021324,0.150316
3240,0.044572,0.032962,0.187468
3250,0.044334,0.033138,0.217345
3260,0.032493,0.024660,0.183296
3270,0.048053,0.036189,0.215999
3280,0.046405,0.036759,0.218892
3290,0.016957,0.012827,0.168392
3300,0.033847,0.026129,0.179270
3310,0.036255,0.029168,0.164222
3320,0.042038,0.032699,0.167486
3330,0.016455,0.011608,0.152446
3340,0.025992,0.019228,0.212771
3350,0.049594,0.037541,0.218854
3360,0.026897,0.020523,0.147413
3370,0.014500,0.010916,0.119622
3380,0.076891,0.059554,0.293465
3390,0.059164,0.044738,0.248077
3400,0.031011,0.023712,0.161697
3410,0.022837,0.017265,0.177774
3420,0.037086,0.028787,0.203424
3430,0.014741,0.011233,0.123229
3440,0.045788,0.033574,0.233050
3450,0.000780,0.000585,0.086160
3460,0.020935,0.015688,0.103600
3470,0.030134,0.023080,0.162722
3480,0.014032,0.009465,0.473766
3490,0.030374,0.026922,0.164252
3500,0.026972,0.021906,0.191695
3510,0.040470,0.031165,0.198927
3520,0.030146,0.021872,0.154509
3530,0.049702,0.038942,0.224343
3540,0.011654,0.008662,0.108559
3550,0.027867,0.021540,0.165360
3560,0.031312,0.022690,0.157199
3570,0.034130,0.025565,0.162208
3580,0.027277,0.019954,0.168673
3590,0.027202,0.020379,0.143139
3600,0.009939,0.007367,0.057873
3610,0.017863,0.013790,0.103897
3620,0.000563,0.000515,0.269346
3630,0.024594,0.018331,0.116538
3640,0.037020,0.028302,0.171907
3650,0.047321,0.036618,0.207224
3660,0.032638,0.024594,0.163096
3670,0.008742,0.006217,0.116811
3680,0.001546,0.001399,0.064469
3690,0.040764,0.030450,0.192414
3700,0.000391,0.000375,0.227554
3710,0.051015,0.039300,0.243916
3720,0.023127,0.017264,0.146578
3730,0.013258,0.010072,0.095628
3740,0.022558,0.017155,0.147168
3750,0.011854,0.009168,0.130006
3760,0.045133,0.034497,0.222843
3770,0.026355,0.020025,0.151411
3780,0.021400,0.018635,0.162727
3790,0.070236,0.053308,0.257725
3800,0.060597,0.046739,0.254514
3810,0.023583,0.018249,0.147937
3820,0.077772,0.057858,0.293774
3830,0.027295,0.020769,0.160575
3840,0.027343,0.020993,0.145962
3850,0.030903,0.024777,0.157294
3860,0.019086,0.014112,0.154406
3870,0.041919,0.031429,0.198375
3880,0.035974,0.027981,0.182972
3890,0.018209,0.014132,0.141555
3900,0.032027,0.024325,0.178693
3910,0.011145,0.008407,0.111181
3920,0.000040,0.000820,0.001076
3930,0.028187,0.021463,0.139164
3940,0.019630,0.014529,0.163975
3950,0.011422,0.008972,0.106055
3960,0.017330,0.013469,0.140477
3970,0.039312,0.029682,0.189353
3980,0.013797,0.010839,0.117697
