iter,ce_loss,ds_loss,final_loss
10,0.614205,0.369020,1.711970
20,0.097538,0.110280,0.744820
30,0.195951,0.167609,0.895421
40,0.242279,0.210352,1.007117
50,0.069513,0.055280,0.587978
60,0.217984,0.106845,0.695152
70,0.362817,0.250768,1.081023
80,0.106938,0.070839,0.509079
90,0.086515,0.063101,0.493065
100,0.088927,0.062553,0.434909
110,0.051042,0.033916,0.438185
120,0.071598,0.061067,0.390949
130,0.067902,0.043417,0.394572
140,0.095631,0.078331,0.453389
150,0.077414,0.058477,0.493894
160,0.028422,0.020923,0.231743
170,0.048288,0.042226,0.415256
180,0.059099,0.043653,0.309913
190,0.066557,0.047820,0.331033
200,0.091135,0.069388,0.404352
210,0.093943,0.070974,0.480094
220,0.042144,0.030607,0.267740
230,0.054487,0.044147,0.286208
240,0.054709,0.036646,0.304886
250,0.063948,0.046476,0.311895
260,0.084350,0.062413,0.345715
270,0.074992,0.057131,0.333704
280,0.046602,0.034063,0.264930
290,0.071234,0.049668,0.287354
300,0.074319,0.057661,0.308004
310,0.070012,0.051551,0.317733
320,0.047866,0.031807,0.265463
330,0.026391,0.020814,0.231271
340,0.058032,0.043712,0.269640
350,0.075906,0.057292,0.381675
360,0.029578,0.022388,0.224862
370,0.016818,0.012000,0.290693
380,0.058073,0.042953,0.266775
390,0.084516,0.065044,0.329782
400,0.102505,0.079464,0.413026
410,0.064606,0.055895,0.293982
420,0.035115,0.027354,0.240335
430,0.202641,0.155574,0.600886
440,0.039404,0.032269,0.242728
450,0.049634,0.034206,0.286760
460,0.058718,0.044661,0.314720
470,0.088038,0.064031,0.379672
480,0.083789,0.066276,0.356734
490,0.028513,0.022349,0.139717
500,0.025198,0.019562,0.224289
510,0.043629,0.034888,0.243888
520,0.074343,0.054524,0.397953
530,0.034655,0.026886,0.245519
540,0.045547,0.033306,0.210982
550,0.030877,0.026473,0.247303
560,0.088950,0.069783,0.336074
570,0.054247,0.041301,0.242739
580,0.019146,0.015691,0.189497
590,0.057749,0.041069,0.252099
600,0.030429,0.023731,0.236941
610,0.041091,0.030005,0.279649
620,0.017728,0.013456,0.181819
630,0.059293,0.043951,0.259464
640,0.014745,0.012124,0.161604
650,0.034542,0.025742,0.187808
660,0.026839,0.020415,0.205014
670,0.022970,0.015537,0.179569
680,0.038564,0.030386,0.225490
690,0.044938,0.037006,0.257934
700,0.072969,0.056740,0.290101
710,0.048300,0.037894,0.249250
720,0.040823,0.031305,0.249155
730,0.265647,0.186757,0.721634
740,0.037520,0.029659,0.204550
750,0.058101,0.043978,0.252800
760,0.081234,0.063261,0.295819
770,0.077504,0.065561,0.320739
780,0.059739,0.050366,0.278911
790,0.013995,0.011231,0.159562
800,0.036390,0.028508,0.211633
810,0.046713,0.035401,0.245629
820,0.038880,0.030594,0.216293
830,0.015209,0.011519,0.218289
840,0.076245,0.058821,0.307255
850,0.087952,0.067567,0.323891
860,0.029300,0.019941,0.261851
870,0.076979,0.057575,0.295741
880,0.036586,0.028538,0.208470
890,0.092227,0.071446,0.344866
900,0.075379,0.058953,0.293195
910,0.036288,0.022101,0.229178
920,0.027886,0.020846,0.213593
930,0.049382,0.038690,0.243897
940,0.068252,0.051878,0.304363
950,0.013383,0.010039,0.200702
960,0.019457,0.014237,0.152367
970,0.056482,0.043060,0.261928
980,0.053838,0.039565,0.254073
990,0.029216,0.021907,0.183927
1000,0.054599,0.040786,0.264794
1010,0.078498,0.059524,0.318056
1020,0.022468,0.016975,0.165088
1030,0.101442,0.075375,0.348475
1040,0.065618,0.052359,0.267203
1050,0.059887,0.044815,0.243978
1060,0.058905,0.046463,0.256955
1070,0.023169,0.015598,0.208420
1080,0.035148,0.027060,0.187735
1090,0.008821,0.008148,0.165234
1100,0.030743,0.022467,0.311432
1110,0.019007,0.013992,0.148167
1120,0.056231,0.041656,0.252386
1130,0.041003,0.031780,0.221618
1140,0.048125,0.036559,0.268233
1150,0.038458,0.028895,0.235162
1160,0.017615,0.015098,0.297061
1170,0.012315,0.009522,0.147824
