iter,rec,pre,oa,f1_score,iou,kc
500,0.649248427932813,0.8204916596553851,0.9748959764838219,0.7248940471337266,0.5684971084200953,0.7119289131329012
1000,0.7138241727222668,0.8914693992138222,0.9809945523738861,0.7928174852572795,0.6567503054219169,0.7829857065495244
1500,0.8205151568557048,0.8479142046645629,0.9833594411611557,0.8339897063506245,0.7152507236796393,0.8252329065886266
2000,0.7800733765421761,0.8829105662929123,0.9835264384746552,0.8283122992260619,0.7069394845392116,0.8196951881976212
2500,0.8026652197091411,0.8947468730028303,0.9851373359560966,0.8462084116007884,0.7334153066368174,0.8384239023369219
3000,0.8135400708024398,0.890015141204573,0.9853799045085907,0.8500610674517206,0.7392227912207255,0.8423926420731662
3500,0.8382799731181813,0.8800233686114408,0.9859396889805794,0.8586446267867983,0.7523026105090288,0.8512511297393199
4000,0.8451525338454237,0.8864403228043134,0.9865962192416191,0.8653041990139865,0.7625869402725078,0.8582556104329565
4500,0.8656736871895263,0.8734777525081362,0.9867694079875946,0.8695582103226029,0.7692198026142995,0.8625896471246545
5000,0.8313443761348537,0.9035797730439723,0.9868891462683678,0.8659582761181404,0.7636035411059998,0.8590783268866146
5500,0.7572789690720142,0.9285246364955084,0.9846656918525696,0.8342041471035654,0.7155662331710777,0.8262521669764322
6000,0.8699459657893024,0.8791905804810063,0.9872851967811584,0.8745438431096711,0.7770572294224802,0.8678472852547005
6500,0.843237606465092,0.8976432555370386,0.9871159568428993,0.8695902939481668,0.7692700171386294,0.8628204728975631
7000,0.8991460854265587,0.8518883467768197,0.9868986085057259,0.874879509092274,0.7775873927835388,0.867972216118175
7500,0.8590069083934018,0.889914734632491,0.9874043092131615,0.8741877121582092,0.7764950885676047,0.8675601797717337
8000,0.8610041777973435,0.9058924819209253,0.9883627742528915,0.8828781324353041,0.7903149674797446,0.8767594975126172
8500,0.865116160024337,0.9010166940724961,0.9882872253656387,0.8827015483978797,0.7900320161834589,0.8765400830959489
9000,0.9057574332689564,0.8434493544302574,0.9866349250078201,0.8734936632231679,0.7754005767268155,0.8664478931219096
9500,0.875980041931542,0.8845159725856816,0.9878559336066246,0.8802273136269502,0.7860767853500799,0.8738311699177941
10000,0.8728071682899843,0.9065276278124698,0.9889359697699547,0.8893478771288862,0.8007438682328896,0.8835269374421784
10500,0.886297512115466,0.8964064678874044,0.988989993929863,0.8913233282079055,0.8039524514998108,0.8855247872774467
11000,0.8781234208942519,0.8929738528068477,0.988429881632328,0.8854863773317572,0.7945047591359412,0.8793939669315601
11500,0.8384699594213243,0.904499557524288,0.9872614741325378,0.8702340458862546,0.7702781648867417,0.8635461341726784
12000,0.854820043189342,0.9188706710374418,0.9887594133615494,0.8856888750686843,0.7948308647849824,0.8797860681467392
12500,0.8901800189693791,0.8890247465024496,0.9887448772788048,0.8896020076654056,0.8011559943431016,0.8836721742747571
13000,0.8825099252852171,0.8714066305579284,0.9873805195093155,0.8769231328192044,0.7808220064406646,0.8702727143464795
13500,0.8579152549933563,0.9161413091775873,0.9887614697217941,0.8860727676294123,0.7954494170536883,0.8801686592978102
14000,0.8664761928441418,0.9105448294845968,0.9888615310192108,0.8879640784798523,0.7985030530902363,0.8821073119659316
14500,0.8642414039973176,0.9246538987790849,0.9894966557621956,0.8934275610788096,0.8073828062714284,0.8879103095133118
15000,0.8991795780080982,0.8804102591127521,0.9886419624090195,0.8896959386369487,0.8013083709202363,0.8837093664146922
15500,0.8786044562684145,0.9093401640541592,0.9893535524606705,0.8937081286753636,0.8078411781199004,0.8881059995933265
16000,0.8606069470049369,0.9269891031568865,0.9894460365176201,0.8925654785402706,0.8059758489050564,0.8870239601322942
16500,0.8828663507053552,0.9148185389916685,0.9898452013731003,0.8985584845331821,0.8158022663167467,0.8932153359153467
17000,0.873936263178563,0.9173509882939935,0.9895669892430305,0.8951175129212345,0.810147254019624,0.889631369582777
17500,0.866396922192638,0.9245266086892465,0.9895909428596497,0.8945183805353538,0.8091662174976225,0.8890497959341269
18000,0.8639664430659021,0.9187484165149347,0.9891778379678726,0.8905157178927355,0.8026393273470825,0.884828952957308
18500,0.8896768989672146,0.9064772612461394,0.9897039607167244,0.8979985088517827,0.8148795769015919,0.8925773578131526
19000,0.8803587947643343,0.9189078943873309,0.9899475201964378,0.8992203893728314,0.8168941182154539,0.8939328701877376
19500,0.8901678797367688,0.9109055871610656,0.9899695888161659,0.9004173456179599,0.8188719074729218,0.8951369053663649
20000,0.885501880484136,0.9159881762941293,0.9900299236178398,0.900487071308349,0.8189872513639929,0.8952407234794534
20500,0.8962312070419249,0.908474483298469,0.9901141300797462,0.9023113154586501,0.822010218530826,0.8971051964893787
21000,0.8633392981329714,0.9330877742129097,0.9898843616247177,0.8968595012693358,0.8130056890317352,0.8915492965587559
21500,0.8952531944098102,0.9060812425080962,0.9899367317557335,0.9006346740787382,0.8192314718712923,0.8953348609830171
22000,0.8903811207144304,0.9153240520431843,0.9902197569608688,0.9026803130108575,0.8226229089971564,0.897532506869156
22500,0.8925844645611192,0.9136218587834302,0.9902290627360344,0.9029806474417726,0.8231218941908724,0.897836858057054
23000,0.8816898689328517,0.9226071157138349,0.9902053251862526,0.9016845384680794,0.8209704497926469,0.8965332532968039
23500,0.8882767920542141,0.9130450469628185,0.9899990782141685,0.9004906372086159,0.8189931506562994,0.8952266502846322
24000,0.8713446101441571,0.9066459801723148,0.988875538110733,0.8886448470926916,0.7996047391043214,0.8827926022662315
24500,0.8934833527975446,0.9113922596528321,0.9901486486196518,0.9023489555192066,0.8220726979274474,0.8971621602597037
25000,0.8697793804164927,0.915644818115038,0.9892843067646027,0.8921229848197393,0.8052545296957744,0.8864890417685859
25500,0.87972068064531,0.9210080253223634,0.990029089152813,0.8998910321485457,0.8180017238710997,0.8946471900102486
26000,0.8879563455644633,0.9184154300623728,0.990274004638195,0.9029290869042784,0.8230362104454918,0.8978111495983451
26500,0.8833702019865928,0.9167875283218513,0.9899741262197495,0.8997686929730305,0.8177995728956063,0.8944937554240388
27000,0.8918619608370806,0.9096017176641724,0.9899759516119957,0.9006444938947251,0.819247721863394,0.8953667435289822
27500,0.8794164685509779,0.9208842647777062,0.9900083839893341,0.899672785865738,0.8176411292104602,0.8944181099011298
28000,0.883042003938669,0.9202619985766978,0.9901441782712936,0.9012678929767384,0.8202799273960394,0.8960834248060974
28500,0.886421975813676,0.917484906550955,0.9901529178023338,0.9016859923257746,0.8209728602434677,0.8965045002722155
29000,0.8723507038926717,0.9245902665995352,0.9898727908730507,0.8977111470272591,0.8144064458297292,0.8923885606628067
29500,0.8844475223168091,0.9187057615847659,0.9901266396045685,0.9012512045716643,0.8202522799766265,0.8960567155849504
30000,0.8834472788008778,0.9170696403138526,0.9899927973747253,0.899944532156376,0.8180901404185429,0.8946794708204714
30500,0.8794372368766485,0.9182953294206943,0.9898721948266029,0.8984463231989911,0.8156173794527598,0.8931192814402169
31000,0.8849269488770113,0.9190718115090294,0.9901684448122978,0.9016762448146152,0.8209566992953024,0.8965037160487604
31500,0.8881020163557878,0.9151538817679704,0.9901052042841911,0.9014250373666949,0.8205403072412661,0.8962174469820561
32000,0.8826336577043541,0.9231735316807206,0.9902792721986771,0.9024485401906833,0.8222380209375063,0.8973360306671928
32500,0.891562136417186,0.9139458281108506,0.9901995286345482,0.9026152319334518,0.8225148172265455,0.8974561953653801
