iter,ce_loss,ds_loss,final_loss
10,0.654946,0.296728,1.676654
20,0.147531,0.095410,0.793211
30,0.214698,0.167418,0.959186
40,0.231313,0.213198,0.998427
50,0.069798,0.043092,0.548065
60,0.203481,0.118237,0.701567
70,0.346774,0.217088,1.014646
80,0.114740,0.085947,0.584283
90,0.080219,0.053384,0.447698
100,0.100479,0.071599,0.481782
110,0.056981,0.038646,0.477368
120,0.074605,0.055531,0.414113
130,0.095514,0.051440,0.469713
140,0.128523,0.090655,0.550271
150,0.073935,0.056303,0.513389
160,0.033544,0.024849,0.267386
170,0.067961,0.051482,0.483962
180,0.071674,0.052254,0.358569
190,0.076714,0.056268,0.380292
200,0.090890,0.067895,0.412391
210,0.084458,0.061667,0.449376
220,0.049804,0.034907,0.314231
230,0.062595,0.049235,0.319404
240,0.062208,0.040293,0.348725
250,0.070277,0.049967,0.340974
260,0.085498,0.070453,0.373495
270,0.075108,0.062544,0.344366
280,0.048272,0.035482,0.280368
290,0.046504,0.034892,0.222289
300,0.077301,0.061099,0.328801
310,0.074618,0.061431,0.360896
320,0.054237,0.041067,0.297689
330,0.031644,0.022545,0.269623
340,0.061703,0.046726,0.286427
350,0.087058,0.065458,0.415917
360,0.023405,0.017547,0.196517
370,0.022144,0.017245,0.334546
380,0.057720,0.043414,0.271109
390,0.093572,0.079650,0.372780
400,0.109958,0.080031,0.430143
410,0.070207,0.057836,0.307918
420,0.040871,0.031061,0.267667
430,0.195347,0.156626,0.601414
440,0.047328,0.038563,0.277077
450,0.051223,0.038551,0.296808
460,0.065665,0.048524,0.332729
470,0.081114,0.061888,0.368523
480,0.070417,0.057420,0.315655
490,0.032309,0.025642,0.155566
500,0.022013,0.017412,0.214119
510,0.049655,0.039695,0.265281
520,0.059108,0.044780,0.373108
530,0.028793,0.027354,0.218875
540,0.042657,0.035754,0.221824
550,0.027532,0.024551,0.231056
560,0.083508,0.064416,0.320490
570,0.055163,0.042094,0.249898
580,0.017076,0.013990,0.182255
590,0.057682,0.043324,0.261389
600,0.031945,0.023759,0.242818
610,0.045891,0.034796,0.307909
620,0.018339,0.013844,0.192158
630,0.062825,0.045936,0.268448
640,0.017449,0.015327,0.188820
650,0.043328,0.031715,0.218082
660,0.024737,0.021525,0.204989
670,0.022435,0.015374,0.176558
680,0.042753,0.030790,0.232736
690,0.043522,0.033705,0.251321
700,0.081183,0.060620,0.310813
710,0.044279,0.034355,0.235964
720,0.042331,0.030685,0.257671
730,0.072931,0.059014,0.308699
740,0.040448,0.032286,0.219676
750,0.065224,0.046230,0.274839
760,0.084226,0.066129,0.308720
770,0.063767,0.052996,0.287187
780,0.062086,0.058635,0.302179
790,0.014417,0.011134,0.160602
800,0.034694,0.024689,0.201775
810,0.045543,0.034080,0.244036
820,0.040515,0.029656,0.212050
830,0.019756,0.015002,0.277039
840,0.077192,0.058247,0.307428
850,0.093973,0.080357,0.354954
860,0.018815,0.015133,0.202180
870,0.074986,0.056435,0.292434
880,0.033926,0.025747,0.202605
890,0.091371,0.071865,0.345185
900,0.072010,0.057779,0.284667
910,0.037363,0.027310,0.243575
920,0.024825,0.018600,0.185460
930,0.057331,0.044361,0.263645
940,0.062833,0.047587,0.303203
950,0.012538,0.009255,0.199087
960,0.018683,0.014917,0.150516
970,0.052429,0.038585,0.249879
980,0.041052,0.029846,0.229546
990,0.028789,0.021730,0.187831
1000,0.057129,0.040963,0.272543
1010,0.079183,0.059293,0.316518
1020,0.024247,0.019136,0.179258
1030,0.107975,0.077954,0.362885
1040,0.067123,0.052906,0.269819
1050,0.062878,0.049252,0.257715
1060,0.065069,0.050816,0.278862
1070,0.022147,0.015653,0.209782
1080,0.048094,0.031818,0.220156
1090,0.009837,0.007960,0.158544
1100,0.030076,0.023945,0.313454
1110,0.019849,0.014753,0.151222
1120,0.050657,0.038709,0.237704
1130,0.088663,0.062875,0.354519
1140,0.044293,0.033561,0.267678
1150,0.042436,0.034136,0.250487
1160,0.016928,0.014751,0.294649
1170,0.012843,0.010854,0.156900
1180,0.038084,0.028042,0.280863
1190,0.034852,0.029422,0.206189
1200,0.029726,0.022991,0.185207
1210,0.034818,0.026232,0.200293
1220,0.072208,0.055520,0.288522
1230,0.036695,0.027061,0.200572
1240,0.075155,0.056246,0.323104
1250,0.054921,0.041076,0.229648
1260,0.041917,0.033226,0.215275
1270,0.065217,0.049075,0.257340
1280,0.057516,0.046999,0.278380
1290,0.062917,0.048817,0.251617
1300,0.035804,0.026882,0.241124
1310,0.065844,0.049929,0.270743
1320,0.067103,0.049962,0.285939
1330,0.045367,0.032604,0.200309
1340,0.029507,0.022038,0.200782
1350,0.048271,0.037570,0.219058
1360,0.039860,0.031725,0.157123
1370,0.066213,0.049447,0.284767
1380,0.032399,0.024094,0.197905
1390,0.076641,0.052161,0.321536
1400,0.055357,0.043073,0.256624
1410,0.035189,0.024470,0.224275
1420,0.023181,0.016317,0.185890
1430,0.023502,0.017204,0.189743
1440,0.019754,0.016465,0.252735
1450,0.027951,0.020950,0.168817
1460,0.029058,0.020990,0.126778
1470,0.027401,0.021491,0.169278
1480,0.044678,0.034074,0.220737
1490,0.045378,0.035116,0.219118
1500,0.106506,0.084608,0.363285
1510,0.044811,0.032888,0.236788
1520,0.006439,0.005547,0.049672
1530,0.029881,0.022512,0.169180
1540,0.037637,0.028859,0.185908
1550,0.043010,0.033885,0.229558
1560,0.047869,0.036839,0.212100
1570,0.050962,0.035599,0.262717
1580,0.009487,0.007431,0.217288
1590,0.009523,0.007171,0.182150
1600,0.001028,0.000893,0.218609
1610,0.037253,0.027971,0.193712
1620,0.034261,0.026229,0.188874
1630,0.044858,0.035113,0.226549
1640,0.014776,0.011379,0.211586
1650,0.049929,0.039678,0.225434
1660,0.043214,0.032892,0.180394
1670,0.022197,0.017381,0.182337
1680,0.001960,0.001687,0.111086
1690,0.024586,0.019232,0.197416
1700,0.017265,0.014019,0.156255
1710,0.038766,0.030047,0.193806
1720,0.022036,0.017273,0.106029
1730,0.082831,0.061089,0.294128
1740,0.042352,0.032263,0.172348
1750,0.031537,0.025130,0.178369
1760,0.090471,0.065525,0.289509
1770,0.042641,0.033424,0.228582
1780,0.021155,0.017353,0.179177
1790,0.021582,0.016120,0.154203
1800,0.000069,0.000113,0.000318
1810,0.034353,0.026695,0.178898
1820,0.066424,0.050863,0.270931
1830,0.031921,0.023950,0.177996
1840,0.029079,0.022362,0.176079
1850,0.013641,0.010189,0.087886
1860,0.011770,0.008969,0.109676
1870,0.058456,0.044452,0.252722
1880,0.036685,0.026488,0.183791
1890,0.040089,0.030869,0.196364
1900,0.033697,0.024898,0.238940
1910,0.017145,0.012721,0.112791
1920,0.050430,0.038818,0.209489
1930,0.058190,0.044938,0.249935
1940,0.004240,0.003608,0.138301
1950,0.042629,0.032713,0.222899
1960,0.032954,0.024380,0.186708
1970,0.023133,0.017248,0.134047
1980,0.029701,0.022410,0.171743
1990,0.048573,0.037784,0.229559
2000,0.035749,0.027976,0.197939
2010,0.030328,0.022114,0.176404
2020,0.012075,0.009442,0.118072
2030,0.077184,0.057414,0.284438
2040,0.014307,0.011233,0.096185
2050,0.008133,0.006905,0.117809
2060,0.009219,0.007079,0.092568
2070,0.052775,0.040514,0.221407
2080,0.064719,0.048313,0.254355
2090,0.029417,0.023059,0.166322
2100,0.038817,0.031254,0.158909
2110,0.036989,0.027842,0.188894
2120,0.022481,0.016720,0.247016
2130,0.044863,0.034871,0.214275
2140,0.083928,0.056896,0.328762
2150,0.029495,0.022313,0.166802
2160,0.067461,0.049447,0.258741
2170,0.049617,0.038205,0.226404
2180,0.032841,0.024416,0.175994
2190,0.029695,0.021802,0.171297
2200,0.059521,0.043489,0.245452
2210,0.103437,0.073709,0.322853
2220,0.053877,0.042834,0.226489
2230,0.040301,0.029680,0.207948
2240,0.036121,0.025381,0.171050
2250,0.080606,0.054772,0.348605
2260,0.038784,0.028507,0.190493
2270,0.024720,0.018441,0.145427
2280,0.014285,0.011231,0.073077
2290,0.054965,0.042917,0.244517
2300,0.023811,0.018820,0.138654
2310,0.044594,0.033683,0.214959
2320,0.036420,0.027466,0.191370
2330,0.043633,0.033190,0.205483
2340,0.042095,0.030516,0.201232
2350,0.050210,0.038329,0.233408
2360,0.085837,0.050150,0.412004
2370,0.013968,0.010398,0.132671
2380,0.072295,0.055745,0.281247
2390,0.040624,0.031805,0.193449
2400,0.032037,0.024122,0.153942
2410,0.041433,0.031523,0.202643
2420,0.099782,0.076253,0.330724
2430,0.041789,0.030726,0.221734
2440,0.035581,0.026662,0.189555
2450,0.046243,0.034597,0.224995
2460,0.021725,0.017349,0.184364
2470,0.036242,0.026735,0.173239
2480,0.034198,0.025702,0.201100
2490,0.044099,0.032840,0.217596
2500,0.055329,0.041124,0.238064
2510,0.037492,0.028185,0.210261
2520,0.009756,0.007371,0.113011
2530,0.044224,0.032968,0.211713
2540,0.004150,0.003054,0.079508
2550,0.039733,0.029177,0.170756
2560,0.023104,0.017342,0.172679
2570,0.051805,0.039549,0.226548
2580,0.026280,0.019867,0.156516
2590,0.073623,0.056387,0.281110
2600,0.053595,0.042757,0.210152
2610,0.070327,0.055663,0.281868
2620,0.015706,0.011400,0.129990
2630,0.037839,0.029046,0.210780
2640,0.044214,0.032692,0.216520
2650,0.021582,0.017327,0.134150
2660,0.035915,0.027359,0.188516
2670,0.095557,0.071908,0.330874
2680,0.028426,0.023281,0.138192
2690,0.064960,0.043587,0.278723
2700,0.069960,0.054111,0.263839
2710,0.037905,0.028159,0.214912
2720,0.018650,0.014007,0.235430
2730,0.032483,0.024590,0.179932
2740,0.055770,0.041922,0.209042
2750,0.033582,0.024499,0.177228
2760,0.004217,0.003263,0.116979
2770,0.033023,0.024429,0.237522
2780,0.018788,0.013717,0.162074
2790,0.034987,0.026711,0.183120
2800,0.072244,0.052572,0.284002
2810,0.054158,0.042004,0.237107
2820,0.039359,0.028066,0.225101
