iter,rec,pre,oa,f1_score,iou,kc
500,0.7633671598656494,0.8566371858613587,0.9814373850822449,0.8073172116249167,0.67689181020614,0.7976001618902625
1000,0.8583056117624777,0.8643414203716897,0.9859193116426468,0.8613129419375936,0.7564088270250532,0.8538961826041774
1500,0.8465361138513763,0.911100340730895,0.9879744127392769,0.8776323906576037,0.781947361410238,0.8713178506907658
2000,0.9022225764863064,0.8404840169284937,0.9862960204482079,0.8702596961693988,0.770318358315284,0.8630352388058569
2500,0.9018130602054748,0.8600282026855317,0.9875212535262108,0.8804251343894582,0.7863923721700674,0.8738461760788874
3000,0.8844532262935778,0.8592292899103516,0.9867321252822876,0.8716588146351201,0.7725135144767808,0.8646648227283004
3500,0.8791362424102374,0.8872015041964205,0.9881489872932434,0.8831504599370844,0.7907515097220111,0.8769085530941372
4000,0.894822178524235,0.8847828375644765,0.9887060150504112,0.8897741904216263,0.8014353321145834,0.8838224742347173
4500,0.8939076409156491,0.8681986891390822,0.9876823723316193,0.8808656195341747,0.7870954863950528,0.8743725184575436
5000,0.8986450130057984,0.9060402021491322,0.9900893196463585,0.9023274556767331,0.8220370094371202,0.8971073659863348
5500,0.9118097913880189,0.8781308775591525,0.989061027765274,0.8946534889891598,0.8093873550756483,0.8888866359519169
6000,0.9098365079376687,0.8897795152628372,0.9896654486656189,0.8996962424922954,0.8176798782639761,0.8942490230954372
6500,0.9182440234389568,0.8749634174281881,0.9891504719853401,0.8960814130825185,0.811727806472291,0.890361385979455
7000,0.9168342636421939,0.8808084262612217,0.9894431456923485,0.8984603552605168,0.8156405078575313,0.8928948474301003
7500,0.9082695231402294,0.8690280362139853,0.9883537888526917,0.8882155673857615,0.7989098797661885,0.8820756122308593
8000,0.9162490941280484,0.8889390571717878,0.9899020567536354,0.9023874938268501,0.822136672779945,0.897064406013468
8500,0.8980569183753612,0.9065217487587639,0.9900892898440361,0.9022694803584647,0.8219407807419816,0.8970495682837263
9000,0.9216678720583386,0.8855028679506167,0.9899386540055275,0.9032235039413671,0.8235255835506902,0.8979192270840104
9500,0.9054061268023287,0.8968113515814166,0.9898741617798805,0.9010882449501998,0.8199823514576604,0.895752321430786
10000,0.9010207924578801,0.9092633388602278,0.9903773739933968,0.9051233007673943,0.8266897098109689,0.9000550770380406
10500,0.914344258398923,0.887256806094173,0.9897177964448929,0.900596899464901,0.8191689645286286,0.8951766915389688
11000,0.904248658285721,0.9077163178669297,0.9904390573501587,0.905979169948456,0.8281187570311358,0.9009426354242366
11500,0.9107659636393419,0.901888136367448,0.9904070049524307,0.9063053095574187,0.8286639017975552,0.9012501450572014
