iter,ce_loss,ds_loss,final_loss
10,0.464063,0.530931,1.717552
20,0.072079,0.086854,0.814006
30,0.299638,0.215453,1.190490
40,0.306191,0.225185,1.150626
50,0.079363,0.099271,0.754927
60,0.261451,0.194202,1.009410
70,0.753113,0.410616,1.894716
80,0.274962,0.200124,1.045195
90,0.169918,0.133994,0.775346
100,0.134888,0.111842,0.713404
110,0.154882,0.096249,0.707046
120,0.158492,0.117332,0.689776
130,0.121408,0.081715,0.584913
140,0.172927,0.112014,0.738937
150,0.102206,0.060658,0.527835
160,0.097054,0.077046,0.516935
170,0.071461,0.047823,0.648737
180,0.108788,0.076722,0.515451
190,0.080108,0.052080,0.479027
200,0.127088,0.093248,0.539738
210,0.066086,0.053930,0.444843
220,0.048046,0.031991,0.347973
230,0.191740,0.125394,0.687262
240,0.126312,0.084892,0.545552
250,0.101146,0.078349,0.476262
260,0.080671,0.053191,0.403870
270,0.114192,0.081778,0.508754
280,0.059669,0.045981,0.449844
290,0.177224,0.122533,0.655386
300,0.123286,0.077741,0.488377
310,0.051193,0.041125,0.358754
320,0.053014,0.038067,0.391731
330,0.063129,0.043557,0.379396
340,0.064259,0.055555,0.439362
350,0.069728,0.048445,0.396870
360,0.072371,0.050837,0.415277
370,0.125466,0.072796,0.620666
380,0.113806,0.085145,0.478944
390,0.160582,0.123507,0.585108
400,0.098006,0.068628,0.450952
410,0.139980,0.102136,0.525010
420,0.071909,0.050874,0.407089
430,0.109381,0.080343,0.453633
440,0.089344,0.068417,0.426231
450,0.131934,0.094238,0.538209
460,0.059782,0.049194,0.364023
470,0.103387,0.068366,0.421951
480,0.093148,0.072002,0.410633
490,0.025840,0.018311,0.203363
500,0.124588,0.075744,0.680444
510,0.067665,0.046858,0.353839
520,0.078434,0.052600,0.476382
530,0.044128,0.031201,0.289070
540,0.054112,0.042860,0.320126
550,0.054242,0.040860,0.298687
560,0.156945,0.116821,0.547139
570,0.113792,0.087350,0.451588
580,0.091429,0.064369,0.471894
590,0.056649,0.041204,0.320990
600,0.047851,0.033792,0.291167
610,0.074106,0.057512,0.395519
620,0.085065,0.061121,0.378326
630,0.100995,0.070966,0.405255
640,0.029720,0.020558,0.254636
650,0.089452,0.065079,0.380026
660,0.041829,0.029161,0.317438
670,0.036697,0.024286,0.277925
680,0.087171,0.065236,0.386276
690,0.057640,0.040697,0.462090
700,0.153041,0.119563,0.516510
710,0.072405,0.054181,0.336464
720,0.049622,0.037493,0.326312
730,0.093281,0.073011,0.366738
740,0.063316,0.045921,0.305243
750,0.087250,0.065329,0.351624
760,0.141215,0.107956,0.484122
770,0.114446,0.077890,0.466642
780,0.020006,0.016250,0.251471
790,0.025608,0.019000,0.270653
800,0.023117,0.020679,0.312490
810,0.063774,0.046512,0.328745
820,0.080779,0.052508,0.375401
830,0.050798,0.032877,0.408329
840,0.082178,0.061276,0.347279
850,0.234178,0.153558,0.738450
860,0.025601,0.022025,0.279623
870,0.113292,0.089275,0.430330
880,0.072399,0.050942,0.291596
890,0.077684,0.058887,0.349494
900,0.101704,0.076485,0.396427
910,0.050874,0.033969,0.317396
920,0.018238,0.014532,0.234686
930,0.078032,0.053688,0.331044
940,0.039663,0.027355,0.273451
950,0.023469,0.018153,0.281758
960,0.029988,0.019416,0.268322
970,0.067287,0.048649,0.318761
980,0.079060,0.057765,0.335156
990,0.121457,0.088379,0.477796
1000,0.036266,0.026837,0.256076
1010,0.083381,0.066145,0.373509
1020,0.086698,0.063044,0.372970
1030,0.113592,0.085918,0.410415
1040,0.127822,0.098873,0.465021
1050,0.064022,0.048814,0.297822
1060,0.018509,0.011765,0.276318
1070,0.021445,0.014493,0.244068
