iter,rec,pre,oa,f1_score,iou,kc
500,0.8371782280669295,0.8618992938954344,0.9848721548914909,0.8493589189528468,0.7381614761919316,0.8413968967705932
1000,0.8866979605357935,0.09750038713725553,0.5761154443025589,0.175682868459305,0.0963006186928339,0.09237067496981458
1500,0.8976946427226398,0.7778783489536197,0.9817301034927368,0.8335026047979124,0.7145344757958194,0.8238896445279573
2000,0.9162275945233048,0.3857544464359915,0.9214114770293236,0.5429243375343409,0.3726123162441722,0.5076219542596884
2500,0.8977184824204167,0.11206630963936826,0.6324442848563194,0.19925829386813315,0.11065345640056033,0.1195056909976534
3000,0.9280123030391227,0.09780704635816469,0.5602589920163155,0.17696320974569965,0.09707056417715769,0.0934020303463091
3500,0.896316035414383,0.839091842873663,0.9859621003270149,0.8667604698153116,0.7648519547090389,0.8593597097010639
4000,0.9025554547202967,0.8706438525253377,0.988204762339592,0.8863125030609802,0.7958359104300068,0.880094326538187
4500,0.915029466890243,0.35512295305292657,0.9110246822237968,0.5116676728089804,0.34378590282633203,0.4729857003937229
5000,0.9037866361674541,0.21618141028475601,0.8281664922833443,0.3489061499961874,0.21131818157725057,0.29057892114976086
5500,0.9193075957226025,0.4382061724216421,0.9358499646186829,0.5935059698885338,0.4219754632314349,0.5633810308190289
6000,0.9163156405236835,0.867011036019704,0.9885769411921501,0.8909817626363183,0.8033968537382472,0.8849593209772986
6500,0.9057939972226021,0.879777683863613,0.9888954609632492,0.8925963078102684,0.806026125888462,0.8867426757943978
7000,0.9086059115137696,0.7171791288049372,0.9770911037921906,0.8016228220659724,0.6689236384223788,0.7896451640977229
7500,0.9118573245277583,0.5010670433023322,0.9492557272315025,0.6467460876428782,0.4779192446718033,0.6218838523653238
8000,0.9014411316689909,0.30188677304561234,0.888786144554615,0.45230091193585215,0.2922408596244553,0.4070442363191674
8500,0.9339418062739356,0.7084374382540084,0.9770542085170746,0.8057083562392413,0.6746328339886143,0.793759472055067
9000,0.9141086402816302,0.15274393347923929,0.7373238578438759,0.26175041009044137,0.1505827538288447,0.19113910900513
9500,0.9158210033587648,0.22613659480582918,0.8360572904348373,0.36271161641039995,0.22153190607459694,0.30600639348915826
10000,0.910438204358862,0.37050948595006605,0.9166391491889954,0.5266819147079297,0.35748011238423116,0.4897309962019719
10500,0.9200804114468576,0.25800683107845407,0.861134447157383,0.40300416255405386,0.2523514170197043,0.3513938659558813
11000,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
11500,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
12000,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
12500,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
13000,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
13500,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
14000,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
14500,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
15000,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
15500,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
16000,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
16500,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
17000,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
17500,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
18000,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
18500,0.0,0.0,0.9490578845143318,0.0,0.0,0.0
