iter,ce_loss,ds_loss,final_loss
10,0.462847,0.408068,1.580643
20,0.106609,0.153606,0.779348
30,0.179082,0.152574,0.889600
40,0.335963,0.155324,1.049685
50,0.044988,0.035559,0.465527
60,0.195264,0.115061,0.683823
70,0.309548,0.201226,0.924869
80,0.113907,0.072445,0.549126
90,0.094963,0.057083,0.491452
100,0.094387,0.070418,0.439960
110,0.063094,0.046384,0.504222
120,0.058085,0.042659,0.359101
130,0.057619,0.041297,0.365004
140,0.089412,0.071690,0.433483
150,0.068874,0.049938,0.473955
160,0.034006,0.029492,0.278980
170,0.051367,0.039799,0.392394
180,0.069007,0.050869,0.339796
190,0.081586,0.054979,0.380136
200,0.083504,0.059954,0.386308
210,0.076911,0.054145,0.389039
220,0.038936,0.029691,0.268749
230,0.060951,0.044456,0.304185
240,0.054338,0.034701,0.308994
250,0.067688,0.049485,0.324837
260,0.081820,0.062731,0.344269
270,0.076352,0.059497,0.332820
280,0.049044,0.035558,0.282505
290,0.054229,0.041527,0.238762
300,0.077915,0.056460,0.321486
310,0.071296,0.054919,0.329853
320,0.053490,0.038622,0.294960
330,0.023952,0.017781,0.220566
340,0.057096,0.042407,0.265685
350,0.084011,0.062920,0.395921
360,0.020315,0.015017,0.180240
370,0.012116,0.008493,0.237349
380,0.055598,0.041323,0.261668
390,0.087272,0.067859,0.337865
400,0.111837,0.085148,0.442518
410,0.065928,0.053503,0.291223
420,0.041841,0.030975,0.268572
430,0.232105,0.179494,0.663965
440,0.041620,0.034040,0.255705
450,0.055037,0.038701,0.307838
460,0.067005,0.048249,0.321863
470,0.078022,0.056325,0.351401
480,0.074241,0.057303,0.326331
490,0.032617,0.026358,0.154613
500,0.022521,0.017153,0.206221
510,0.045415,0.035269,0.254317
520,0.039900,0.030182,0.278671
530,0.030525,0.023156,0.230510
540,0.047037,0.035059,0.213758
550,0.034052,0.027974,0.255127
560,0.083898,0.070660,0.335775
570,0.056120,0.042255,0.249848
580,0.019318,0.015421,0.187168
590,0.061275,0.042404,0.261735
600,0.030333,0.024318,0.234616
610,0.042729,0.033710,0.292874
620,0.018703,0.014140,0.187092
630,0.061892,0.047398,0.270508
640,0.017350,0.014320,0.177948
650,0.034423,0.026476,0.189691
660,0.025374,0.019885,0.195805
670,0.023599,0.015738,0.181786
680,0.045080,0.032684,0.248114
690,0.040881,0.032339,0.225970
700,0.076099,0.059945,0.299134
710,0.050367,0.038116,0.255644
720,0.048804,0.035460,0.267886
730,0.057271,0.048022,0.245696
740,0.039836,0.029702,0.213309
750,0.062781,0.046511,0.264234
760,0.087236,0.066997,0.311447
